Episode 0, avg time: 0.09831714630126953, current_reward: 0.16
Episode 20, avg time: 0.2235137939453125, current_reward: 0.465
Episode 40, avg time: 0.20630120038986205, current_reward: 0.758
Episode 60, avg time: 0.21775344610214234, current_reward: 0.609
Episode 80, avg time: 0.23477060794830323, current_reward: 0.597
Episode 100, avg time: 0.21331186294555665, current_reward: 0.477
Episode 120, avg time: 0.22492902278900145, current_reward: 0.38500000000000006
Episode 140, avg time: 0.2254299998283386, current_reward: 0.51
Episode 160, avg time: 0.21503640413284303, current_reward: 0.615
Episode 180, avg time: 0.22088528871536256, current_reward: 0.5030000000000001
Episode 200, avg time: 0.22932666540145874, current_reward: 0.6859999999999999
Episode 220, avg time: 0.2137824773788452, current_reward: 0.43899999999999995
Episode 240, avg time: 0.20973827838897705, current_reward: 0.6699999999999999
Episode 260, avg time: 0.22102768421173097, current_reward: 0.4760000000000001
Episode 280, avg time: 0.22167434692382812, current_reward: 0.5359999999999999
Episode 300, avg time: 0.22832648754119872, current_reward: 0.499
Episode 320, avg time: 0.22447452545166016, current_reward: 0.434
Episode 340, avg time: 0.21511934995651244, current_reward: 0.337
Episode 360, avg time: 0.21193912029266357, current_reward: 0.392
Episode 380, avg time: 0.22391873598098755, current_reward: 0.295
Episode 400, avg time: 0.22339396476745604, current_reward: 0.591
Episode 420, avg time: 0.2555433392524719, current_reward: 0.445
Episode 440, avg time: 0.24278255701065063, current_reward: 0.49000000000000005
Episode 460, avg time: 0.21063705682754516, current_reward: 0.525
Episode 480, avg time: 0.23405771255493163, current_reward: 0.602
Episode 500, avg time: 0.25598477125167846, current_reward: 0.30300000000000005
Episode 520, avg time: 0.21678717136383058, current_reward: 0.46299999999999997
Episode 540, avg time: 0.22272310256958008, current_reward: 0.45099999999999996
Episode 560, avg time: 0.22940610647201537, current_reward: 0.5920000000000001
Episode 580, avg time: 0.22145564556121827, current_reward: 0.409
Episode 600, avg time: 0.253132164478302, current_reward: 0.45999999999999996
Episode 620, avg time: 0.2291296362876892, current_reward: 0.446
Episode 640, avg time: 0.2232214093208313, current_reward: 0.437
Episode 660, avg time: 0.2643511533737183, current_reward: 0.556
Episode 680, avg time: 0.4333150744438171, current_reward: 0.35500000000000004
Episode 700, avg time: 0.36754387617111206, current_reward: 0.477
Episode 720, avg time: 0.29035688638687135, current_reward: 0.6579999999999999
Episode 740, avg time: 0.3247481107711792, current_reward: 0.4039999999999999
Episode 760, avg time: 0.29408600330352785, current_reward: 0.5229999999999999
Episode 780, avg time: 0.27834593057632445, current_reward: 0.7379999999999999
Episode 800, avg time: 0.2643409252166748, current_reward: 0.40199999999999997
Episode 820, avg time: 0.2185337781906128, current_reward: 0.4699999999999999
Episode 840, avg time: 0.22636638879776, current_reward: 0.5199999999999999
Episode 860, avg time: 0.24536421298980712, current_reward: 0.40499999999999997
Episode 880, avg time: 0.23363031148910524, current_reward: 0.492
Episode 900, avg time: 0.2248866319656372, current_reward: 0.4170000000000001
Episode 920, avg time: 0.23174664974212647, current_reward: 0.551
Episode 940, avg time: 0.2182619094848633, current_reward: 0.475
Episode 960, avg time: 0.23215029239654542, current_reward: 0.4210000000000001
Episode 980, avg time: 0.2312419295310974, current_reward: 0.40800000000000003
Episode 1000, avg time: 0.22803750038146972, current_reward: 0.502
Episode 1020, avg time: 0.23026212453842163, current_reward: 0.38099999999999995
Episode 1040, avg time: 0.22818790674209594, current_reward: 0.5409999999999999
Episode 1060, avg time: 0.21937321424484252, current_reward: 0.622
Episode 1080, avg time: 0.21968737840652466, current_reward: 0.553
Episode 1100, avg time: 0.2378459930419922, current_reward: 0.583
Episode 1120, avg time: 0.21286888122558595, current_reward: 0.545
Episode 1140, avg time: 0.2194217324256897, current_reward: 0.40499999999999997
Episode 1160, avg time: 0.22133442163467407, current_reward: 0.42299999999999993
Episode 1180, avg time: 0.21696983575820922, current_reward: 0.47300000000000003
Episode 1200, avg time: 0.22183794975280763, current_reward: 0.573
Episode 1220, avg time: 0.22147834300994873, current_reward: 0.5930000000000001
Episode 1240, avg time: 0.2038120985031128, current_reward: 0.516
Episode 1260, avg time: 0.21063021421432496, current_reward: 0.22999999999999998
Episode 1280, avg time: 0.2201019287109375, current_reward: 0.359
Episode 1300, avg time: 0.2069370150566101, current_reward: 0.521
Episode 1320, avg time: 0.2109670400619507, current_reward: 0.502
Episode 1340, avg time: 0.21497440338134766, current_reward: 0.49700000000000005
Episode 1360, avg time: 0.20385688543319702, current_reward: 0.475
Episode 1380, avg time: 0.2095899224281311, current_reward: 0.44099999999999995
Episode 1400, avg time: 0.21665242910385132, current_reward: 0.601
Episode 1420, avg time: 0.2140297293663025, current_reward: 0.571
Episode 1440, avg time: 0.23403819799423217, current_reward: 0.44400000000000006
Episode 1460, avg time: 0.2431715488433838, current_reward: 0.528
Episode 1480, avg time: 0.2170899033546448, current_reward: 0.551
Episode 1500, avg time: 0.21674634218215943, current_reward: 0.5349999999999999
Episode 1520, avg time: 0.22848339080810548, current_reward: 0.31999999999999995
Episode 1540, avg time: 0.22543371915817262, current_reward: 0.645
Episode 1560, avg time: 0.2257428288459778, current_reward: 0.504
Episode 1580, avg time: 0.23642059564590454, current_reward: 0.469
Episode 1600, avg time: 0.2459349513053894, current_reward: 0.5549999999999999
Episode 1620, avg time: 0.22842059135437012, current_reward: 0.45
Episode 1640, avg time: 0.24524680376052857, current_reward: 0.42699999999999994
Episode 1660, avg time: 0.2258938431739807, current_reward: 0.349
Episode 1680, avg time: 0.21705069541931152, current_reward: 0.44400000000000006
Episode 1700, avg time: 0.22194303274154664, current_reward: 0.5549999999999999
Episode 1720, avg time: 0.21125539541244506, current_reward: 0.4590000000000001
Episode 1740, avg time: 0.22223241329193116, current_reward: 0.531
Episode 1760, avg time: 0.22220511436462403, current_reward: 0.568
Episode 1780, avg time: 0.21183794736862183, current_reward: 0.54
Episode 1800, avg time: 0.22466230392456055, current_reward: 0.45200000000000007
Episode 1820, avg time: 0.23988592624664307, current_reward: 0.514
Episode 1840, avg time: 0.2172371745109558, current_reward: 0.562
Episode 1860, avg time: 0.2184147596359253, current_reward: 0.5980000000000001
Episode 1880, avg time: 0.2246926784515381, current_reward: 0.634
Episode 1900, avg time: 0.21155436038970948, current_reward: 0.417
Episode 1920, avg time: 0.22021002769470216, current_reward: 0.39699999999999996
Episode 1940, avg time: 0.22095296382904053, current_reward: 0.623
Episode 1960, avg time: 0.21113663911819458, current_reward: 0.477
Episode 1980, avg time: 0.21803075075149536, current_reward: 0.446
Episode 2000, avg time: 0.2230632185935974, current_reward: 0.5200000000000001
Episode 2020, avg time: 0.21100828647613526, current_reward: 0.542
Episode 2040, avg time: 0.22040556669235228, current_reward: 0.4090000000000001
Episode 2060, avg time: 0.2211069345474243, current_reward: 0.5770000000000001
Episode 2080, avg time: 0.21475329399108886, current_reward: 0.509
